Class,Precision,Recall,F1-Score,True Positives,False Positives,False Negatives
RIDVAN DİLMEN,0.5490196078431373,0.56,0.5544554455445545,28,23,22
AHMET ÇAKAR,0.59375,0.38,0.46341463414634143,19,13,31
MELTEM GÜRLE,0.09482758620689655,0.66,0.1658291457286432,33,315,17
REHA MUHTAR,0.07086614173228346,0.54,0.12529002320185614,27,354,23
ALİ SİRMEN,0.75,0.12,0.20689655172413793,6,2,44
AYKAN SEVER,0.2608695652173913,0.36,0.3025210084033614,18,51,32
CAN ATAKLI,0.4166666666666667,0.3,0.3488372093023256,15,21,35
NEŞE YAŞIN,0.09274193548387097,0.46,0.15436241610738255,23,225,27
ATAOL BEHRAMOĞLU,0.09090909090909091,0.06,0.07228915662650602,3,30,47
ATİLLA DORSAY,0.9444444444444444,0.34,0.5,17,1,33
AZİZ ÜSTEL,0.4,0.04,0.07272727272727272,2,3,48
MEHMET DEMİRKOL,0.7142857142857143,0.1,0.1754385964912281,5,2,45
DENİZ GÖKÇE,1.0,0.72,0.8372093023255813,36,0,14
EMRE KONGAR,0.23809523809523808,0.1,0.1408450704225352,5,16,45
MEHMET ALİ BİRAND,0.15384615384615385,0.04,0.0634920634920635,2,11,48
GÖZDE BEDELOĞLU,0.6666666666666666,0.08,0.14285714285714285,4,2,46
NAZAN BEKİROĞLU,0.14285714285714285,0.04,0.0625,2,12,48
HASAN PULUR,0.0,0.0,0.0,0,0,50
UFUK BOZKIR,0.18840579710144928,0.26,0.2184873949579832,13,56,37
HİKMET ÇETİNKAYA,1.0,0.08,0.14814814814814814,4,0,46
MERYEM KORAY,0.40625,0.26,0.3170731707317073,13,19,37
MÜMTAZ SOYSAL,0.5,0.02,0.038461538461538464,1,1,49
NAZIM ALPMAN,0.0,0.0,0.0,0,1,50
NEDİM HAZAR,0.375,0.06,0.10344827586206896,3,5,47
OKAY KARACAN,0.6923076923076923,0.18,0.28571428571428575,9,4,41
RUHAT MENGİ,0.8,0.32,0.45714285714285713,16,4,34
SELİM İLERİ,0.3333333333333333,0.02,0.03773584905660377,1,2,49
TARHAN ERDEM,1.0,0.18,0.3050847457627119,9,0,41
ÖZGE BAŞAK TANELİ,0.45454545454545453,0.1,0.16393442622950818,5,6,45
YAŞAR SEYMAN,0.5,0.02,0.038461538461538464,1,1,49
Macro Avg,0.44765627438475425,0.21333333333333335,0.21675524232099613,-,-,-
Micro Avg,0.21333333333333335,0.21333333333333335,0.21333333333333337,-,-,-
