Class,Precision,Recall,F1-Score,True Positives,False Positives,False Negatives
MÜMTAZ SOYSAL,0.03328402366863906,0.9,0.06419400855920115,45,1307,5
AHMET ÇAKAR,0.0,0.0,0.0,0,1,50
ALİ SİRMEN,0.0,0.0,0.0,0,8,50
ATAOL BEHRAMOĞLU,0.0,0.0,0.0,0,0,50
ATİLLA DORSAY,0.0,0.0,0.0,0,0,50
AYKAN SEVER,0.0,0.0,0.0,0,0,50
AZİZ ÜSTEL,0.0,0.0,0.0,0,0,50
CAN ATAKLI,0.0,0.0,0.0,0,0,50
DENİZ GÖKÇE,0.0,0.0,0.0,0,56,50
EMRE KONGAR,0.0,0.0,0.0,0,0,50
GÖZDE BEDELOĞLU,0.0,0.0,0.0,0,0,50
HASAN PULUR,0.014084507042253521,0.02,0.01652892561983471,1,70,49
HİKMET ÇETİNKAYA,0.0,0.0,0.0,0,1,50
MEHMET ALİ BİRAND,0.0,0.0,0.0,0,0,50
MEHMET DEMİRKOL,0.0,0.0,0.0,0,0,50
MELTEM GÜRLE,0.0,0.0,0.0,0,0,50
MERYEM KORAY,0.0,0.0,0.0,0,0,50
NAZAN BEKİROĞLU,0.0,0.0,0.0,0,0,50
NAZIM ALPMAN,0.0,0.0,0.0,0,0,50
NEDİM HAZAR,0.0,0.0,0.0,0,0,50
NEŞE YAŞIN,0.0,0.0,0.0,0,0,50
OKAY KARACAN,0.0,0.0,0.0,0,0,50
REHA MUHTAR,0.0,0.0,0.0,0,0,50
RIDVAN DİLMEN,0.0,0.0,0.0,0,0,50
RUHAT MENGİ,0.0,0.0,0.0,0,0,50
SELİM İLERİ,0.0,0.0,0.0,0,0,50
TARHAN ERDEM,0.0,0.0,0.0,0,0,50
UFUK BOZKIR,0.0,0.0,0.0,0,0,50
YAŞAR SEYMAN,0.0,0.0,0.0,0,11,50
ÖZGE BAŞAK TANELİ,0.0,0.0,0.0,0,0,50
Macro Avg,0.0015789510236964193,0.03066666666666667,0.0026907644726345287,-,-,-
Micro Avg,0.030666666666666665,0.030666666666666665,0.030666666666666665,-,-,-
