,text,class
0,Fernando þunu belirtelim Galatasaray yerli yabancý transferlerini mükemmel Mesela kaleci Kritik anlarda maçý kurtaran adam Mesela emektar faydalý Gol gol ileride top mükemmel Üstelik attýðý ilk gol yýlýn golleri arasýna girebilecek metreden kalecinin üzerinden öyle bir vurdu maçýn stratejisini Galatasaray lehine kimseyi kendi çapýnda iyi bir Üstelik saha hava þartlarý onlarýn alýþkýn olduðu Ve maçýn hemen baþýnda maðlup duruma düþmüþ olsalar özellikle ilk yarýda disiplini Ve önemli pozisyonlar Fakat Galatasaray pozisyon verse önce kaleci sonra oyuncularýn panik yapmamasý dengeyi Çünkü ilk yarýda yenecek bir þeyi berbat yarý kritik an ikinci golü bulduðu Çünkü böylesine diþli rakiplere karþý deplasmanda ikinci golü bulduðunuzda kozlar elinize Bu dakikadan sonra Sivas açýsýndan yine kritik anlar Ama anlarda sahneye yine göbeðinde dengeli oynayan Ujfalusi Semih özellikle yýlýn transferi Muslera Bu dakikalardan sonra kontratak Galatasaray için gol gol pozisyonu futbol kamuoyu dün geceki maçý kazanamayacaðýný düþünüyordu rakipler için evdeki hesap çarþýya Eðer ayný Galatasaray iki hafta sonra kaybetmezse þampiyonluk için dev bir adýmla ilerlemiþ hakem Halis Kartlarýný yerinde Özellikle hava toplarýnda Melo verdiði sarý kartlar Ýkinci yarýda yapýlan harekette birçok kiþi kýrmýzý kart beklerken hakemin kararý bence yine Tek tartýþýlacak pozisyon ilk yarýda bir yan topta sarýlmasý ceza alaný içinde yere Bence ,AHMET ÇAKAR
1,Kopuk kopuk yarý bittiðinde herkes birbirine ilk devre beþ olmadý Hatta birçok Fenerbahçeli mý iddiaya girmiþlerdir Çünkü ilk yarýya iyi oynayan bir Fenerbahçe karþýsýnda Mersin Ýdman Yurdu Süper Lig takýmý sorduran bir rakip ilk yarýya bakýyoruz defansta ofansta þeyi mükemmele yakýn Bienvenu bile yarýda gol takým arkadaþlarýna pozisyon hazýrlayan bir harika bir gol attý aðýr aðýr oynamaya çalýþan Mersin yarýda sürklase Ve ayný Mersin defansta öylesine acemice hatalar yaptý bir Süper Lig takýmý için asla kabul yarý fark bekleyenler büyük bir þaþkýnlýk Ýkinci yarýnýn ilk dakikasýna Mersin tek kale sihirli bir el deðmiþ maçý býrakmýþ mücadele etmeye Ýþte baskýsý golü sonuç maçý GOL Fener oluyuruz birbirlerine Çünkü yenilecek bir birçok þeyi rezil Bu dakikadan sonra top bir kalede bir öbür kalede oynanmaya risk dolayýsýyla pozisyon vermeye devam Asýl düþündüren oyunun belirli bölümlerinde oyundan tamamen kopuyor oynuyor Bunu son haftalarda bazý maçlarda net Ama böyle kötü dönemler Önemli olan tür maçlarý Barýþ Þimþek bir pozisyon dýþýnda Ama pozisyonda sonuca etki ilk golünde Bienvenu þutu çektiðinde Özer kalecinin hemen önündeydi görüþ alanýnda olduðu için pasif ofsayt olarak düþünmek yanlýþ Dolayýsýyla ilk golünde ofsayt pozisyonu ,AHMET ÇAKAR
2,Benim kýlýna bile Türk futbol tarihinin önemli Genel yýldýr þike Ve bugünden itibaren Türk futbolu ilkesizlik kepazelik dönemine girmiþ Tarihi futbolu oluþturan baronlar tarafýndan baþta Fenerbahçe asýrlýk bir camianýn onuruyla oynanmasýna sadece saatler Þimdi birer birer Sayýn Mehmet Ali hani oyun oynanýrken kural Hani Türkiye Futbol Federasyonu Baþkaný olduðunuz sürece maddenin kýlýna Bugün iddianamede sanýk durumunda bulunanlarýn takýmlarý hangi adalet duygusuna uygun gelecek þekilde Genel oy futbolunu hale getiren hangi hakla birbirlerini kurtarmaya yönelik karara katkýda Bir ülkede üç amatör takým þike yaptýlar küme düþürülmüþken Süper Lig kulüpleri Türkiye Futbol Federasyonu maddesinde Genel yetkileri Bugünkü toplantýnýn konusu olan þike teþvik primi iddiasý bulunan kulüplere uygulanmasý muhtemel yaptýrýmlarýn deðiþtirilip deðiþtirilmemesinin görüþülmesi karara ifadesini buradaki yetki maddesinin hangisine Bundan sonra ilerleyen yýllarda gerek federasyon yetkilileri gerekse kulüpler hangi yüzle temiz düzgün futboldan Fenerbahçe idarecileri bangýr bangýr maddeye suçumuz varsa Madem düþme ihtimaliniz halde milyonlarca Euro verip almaya Yoksa þey bir kayýkçý kavgasý kimseyi Herkesin aðzýna birer lokma bal çalýnýp hiçbir takýmý küme düþürmeyip sözüm ona kaosu Ondan sonra zannediyorlar futbolumuzun marka deðeri yükselmeye Bunlarýn acýma duygusuyla kümede kalmýþ takýmlara ilerleyen yýllarda üzücü pek yakýþtýrmalar Ve ondan sonra pek tabii Sayýn Aydýnlar ölene kadar Türk futbolunda týpký Rahþan Ecevit bugün oy Ve maddenin kýlýna bile Ama biliyorum bugün TFF Genel benim görüþüm Ama asýl trajikomik olaný Türk futbolu adýna bundan böyle yapanýn yaptýðýnýn yanýna kar kaldýðý bir dönem ,AHMET ÇAKAR
3,Maçýn iki maçla ilgili iki insan üstelik ikisi futbolcu Biri teknik diðeri Yani Abdullah diðeri hakem Tolga Futbolda yazýlý olmayan bazý kurallar Mesela deplasmanda baský altýnda oynuyorsanýz maðlup deðilseniz oyuncu deðiþikliklerini itinayla deðiþiklik hakkýnýz bittiðinde kalecinize bir þey olursa son dakikada galipken maðlup duruma Ýþte dün gece Þayet kaleci Mahmut sakatlanmasaydý maçý kolay kolay Kerim sakatlýk nedeniyle Ama ikinci deðiþikliði yaparken dikkat etmesi Zira Popov zaman için sonucu deðiþtirebilecek bir O arkasýndan Dany deðiþmek zorunda kaldý Mahmut sakatlanýnca bence maç Beþiktaþ lehine Çünkü son dakikada ana kadar uyuyan birçok Beþiktaþlý futbolcular yaralý Sakat gördüler uykudan uyanýp maçý FUTBOLU BÝLMÝYOR yarýya bakýyoruz daðýnýk bir Beþiktaþ kornerde markaj hatasýndan golü ikinci yarýda golü bulmalarýna raðmen sahneye yine Beþiktaþ kalecisi Cenk zamanlamasý hatalýydý galibiyet golü Ne olduysa dakikalardan sonra Maçýn sonlarýnda iyisi Almeida golünü attý beraberliði dakikadan sonra sahneye hakem Özkalfa kesinlikle futbolu deðildir kartlarý yanlýþ Ýþte son dakikada hakem tarafýndan kontrolü kaybedilmiþ bir maçta Beþiktaþ son golünü ofsayt faulüyle ,AHMET ÇAKAR
4,Bu oyunla maç öncesi merak Acaba Galatasaray maçýný kazanabilecek sadece rekor kýrýlacak maç geçilecek zor bir Ama baktýðýmýzda kazanmayý hak etmediðini rahatlýkla yumuþak sað Hem Sabri Kazým defansif ofansif olarak güven Bunu Ersun Yanal iyi görmüþ kanada oyuncularýný koymuþ buradan pozisyon bulmayý sol kanadýný büyük oranda istediði Orta pozisyon golü SANTRFORLA OLMUYOR biraz futbolu sevse önemli oyuncusu iyi niyet fedakarlýðýnýn yarýsý onda olsa adýndan söz Dün gece etkisiz Bunda baþ rolü genç stoperi Semih Semih hoþ çocuk deneyimsizliði anlýk hata Mesela dakikada bir hatasýyla önüne býraktýðý top gol olsa Galatasaray için þey uzun bir aradan sonra ilk tek santraforla oyuna Ama görünen strateji fazla yanýna mutlaka bir yardýmcý Mesela ikinci yarý almasý doðru sonraki iyi Hatta ileri kalma þansý bile herkesin sevdiði güvendiði bir Oyuncularýn saygýsý Ceza alanýnda kollara çarpan pozisyonlarda penaltý beklentisi Hepsinde devam kararý Bence doðruyu ,AHMET ÇAKAR
5,önemli isimlerinden Þenes Erzik bir Türk Bu kurumlarda çeyrek yüzyýlý aþkýndýr görev Kendisine büyük bir saygým sevgim Onun döneminde hakemlik yaptýðýmdan hiyerarþik olarak astý Sayýn kendi adýma milyon Türk vatandaþý adýna basit bir sorum Herhangi bir ülkede bir futbol federasyonunun ceza kurulu bir takým þike yaptý küme düþürmeyip önemli bir puan silmeyle UEFA FIFA uygulamaya karþý çýkar anda tam anlamýyla bir orta oyunu Futbolun neredeyse unsurlarý yalan dezenformasyonlarla þike sürecini manipüle edip kendilerini kurtarmaya Herkes topu baþkasýnýn üzerine Yukarýdaki sorunun yanýtý UEFA müdahale milyon el ele tutuþup desek bile UEFA kafamýza binecek Kimse Trabzonspor takým dýþýnda baþta Fenerbahçe diðer kulüplerin küme düþmesini tabii Aziz TFF madde zaman Kulüpler Birliði toplantýlar Niye Sayýn Aydýnlar Perþembe günü UEFA görüþmeye TFF Genel Kurulu madde kesin deðiþmeyecekse bunlara gerek hayatýnýn sonuna dek küme düþürmüþ bir Fenerbahçeli Federasyon olarak anýlmaktan hoþlanmayacaðý Sayýn seven bir insan olarak rahatlýkla söyleyebilirim kendisi hayatýnýn sonuna dek yukarýdaki þike sürecini büyük bir eyyam aflarla Rahþan Ecevit misali bir sýfatla Nereden sonuçta acý çeken mutsuz olan ÖNCESÝ NE sormak Ordu yolculuðu öncesi Aykut yoldan çevirip görüþmekteki aceleniz Bu iþe aracý Neyin pazarlýðýný Belli konu konu önemli görüþmeyi dönüþüne TFF yetkililerinden bazý hokkabaz medya mensuplarýna kadar herkes pazarlýklar hesaplar Kimi siyasi erk kullanýp hukuki davalarýný tuttuðu takýmýn baþkanýný kurtarmaya çalýþýyor konu üzerinde sonra önemli açýklamalar kimi kendi camiasýna etik topu federasyona atýp arkadan kulisler yapýyor maalesef halk rezilliði seyretmek zorunda asýl rezilliði büyük bir acýyla ben Geçenlerde Kulüpler Birliði toplantýsýnda baþkanlarý tanesini orada beyefendi oturup büyük saygý görürken Aziz olmasý yüreðimi Çünkü Aziz suçlandýðý konulara baktýðýmýzda baþkanýn yýllardýr yaptýklarýnýn yanýnda devede kulak olduðunu net ,AHMET ÇAKAR
7,Fernando Muslera seyretmemiþ birisi dün gece elini kolunu sallayarak üç puaný aldýðýný Oysa öyle Eðer dün gece Galatasaray bir kazaya uðramadýysa bunun önemli aktörü kaleci ilk Selçuk büyük bir hata topu Muslera golü Daha sonra Galatasaray golü buldu oyun insiyatifi tümüyle Ýþte dakikalarda sahneye yine kaleci Muslera Direkten dönen topu tamamlayan mutlak vuruþunu yine ilk yarýda oyun pozisyon yönünden sýkýntý çekiyordu bir kornerde sahneye Elmander Hemen akabinde yeni tranfseri stoper Mabiala kendini adeta attýrýrcasýna faul yapýnca ilk yarýnýn sonunda maç KAZIM dün gecenin kahramanlarýndan bir Gollerini asist Ýnanýlmaz saha elektriði arkadaþlarýný maça konsantre Ujfalusi mutlaka defansýn göbeðinde Bundan sað bekte iyi manasý Semih genç Yanýnda Ujfalusi olmayýnca Galatasaray defans göbeðinden açýk Ayrýca Kazým kötü oynarken çekilmez bir oyuncu görüntüsü Unutmasýn artýk Yiðit Gökoðlan yeri asla garanti yýlki yerinde adeta yeller Bu gidiþle kurtarmalarý kolay Mustafa Kamil Abitoðlu baþarýlý bir maç yönetti diyecektik verdiði penaltýya Zira orada Karabüksporlu oyuncu hamle yaptý müdahalesi Elmander oyuncunun uzanmýþ ayaðýna ,AHMET ÇAKAR
8,Maçýn adamý önemli bir maç Eðer maçý kazanabildiyse bir maçý Düþünebiliyor ilk devre rakip Gaziantepspor neredeyse maçý son vuruþlarda beceriksiz oldu soyunma odasýna önde Ancak maçýn adamý Kerim Zengin karþýlaþmayý adeta hediye yarýda Aykut Kocaman doðru Caner sahaya sürüp hareketli bir orta saha yaratmaya Özellikle ilk yarý Fenerli oyuncularýn üzerine ölü topraðý bir tek didinen Stoch Ýþte Stoch maçý kurtaran adam Önce beraberlik sonra maç boyu adeta küskünleri oynayan önüne attýðý topla galibiyet golü þunu sormak Kerim Zengin atýlmasaydý Gaziantep maçý ilk yarýda maç döner Tabii zor Ama þunu söylemek lazým Fenerli oyuncularýn yaþadýðý aðýr stres dayanýlacak olabildiðince iyi mücadele edip maç Mesela ilk yarý orta saha adeta yok Gazianteplilerin inanýlmaz rahat kontrataða çýkmalarýnýn nedeni orta sahanýn böyle yetersiz Semih günden güne geriye Hep söylüyoruz Gökhan iyi hücum beki bazý haftalar defans zaafiyeti ortaya maçýn kýrýlma Kerim gösterilen sarý kartta hakem Kamil Abitoðlu Çok tartýþýlan ikinci sarý karta gelince hamlesi net bir þekilde aþil tendonuna dolayýsýyla karar Kamil Abitoðlu maçý genelde iyi yönetti karþýlaþmanýn hemen baþýnda vermesi gereken sarý kartý Ayrýca futbolcularla fazla konuþuyor olmasý kendisi adýna bir eksi Þubat tarihinde yenildiði günden yana Saracoðlu çýktýðý lig maçýnda galibiyet beraberlik ,AHMET ÇAKAR
9,Yok böyle bir yýl önce Beþiktaþ Baþkaný Yýldýrým Demirören federasyon hakemlere kýzmýþ hafta lig maçýna PAF takýmýyla Sözleri kýzgýnlýðýndan kaynaklanmýþ bir Dün geceye keþke Beþiktaþ takýmýyla Sonuç futbol kesinlikle keyif verici Beþiktaþlý futbolcular Carvalhal Bir takým böyle sürpriz puan kayýplarý Ama mücadeleden futbolun genel doðrularýna ihanet edercesine oynamak hiçbir takýmýn hakký Ankaragücü büyük bir onur mücadelesi Takýmýn neredeyse yarýsý Dün geceki ilk dolaþmaya çýksa binlerce insandan hiçbiri çocuklardan birini Ama dedik Beþiktaþ maçý kazanmamak için þeyi futbol kitabýnda düny a d a açýlan antrenör kursunda þunu Bir takým kapanýyor sürekli alaný daraltýyorsa yapýlacaklarýn ilki topu kanatlara sýfýra Peki dün gece bunu yapabildi mi tabi Ýkinci yarýda gol için hayatýnda muhtemelen sað açýkta oynamamýþ burada oynatarak kanatlara yayýlmaya Peki þut attý mý Peki bireysel yeteneklerle aralara girip pozisyon bulabildi Daha korkuncu seyircisine dedirtecek pozisyonu var mý NE bütün hayýrlarýn yanýnda Beþiktaþlý oyuncular maç boyu zaman tempoyu düþürürcesine bitse gitsek der havasýnda mý Ýþte bunun cevabý Þimdi lütfen yukarýdaki yaptýðýný doðrusu hiçbir þey yapmadýðýný haftada sadece puan alan ikinci yarýnýn ilk iki maçýnda puan toplama baþarýsý göstererek büyük moral ,AHMET ÇAKAR
10,Yetki devri Federasyonu Yönetim bütün cezai yaptýrýmlarýn hukuki kurullarýna devredildiðini Yani þike dosyasýyla ilgili sadece kiþilerin kulüplerin cezalarýný PFDK Bu deðiþikliði nasýl þunu soruyorum Niye Görünen TFF topu sürekli baþkalarýna madde düzenlemesinde topu Genel atmalarý son derece Belli onlarý futbolunu maddeyi deðiþtirmek için Genel cezalar için sistemi disiplin kurulu üzerine bazý naklen yayýn konularýnda Lig mahkum olacaklarsa zaman onlarý Oraya bir sekretarya þeyi onlar oynanýrken kural açýklamasýyla deðiþiklik usul yönünden olsa baðdaþýyor Sadece Hani kulüplere verilecek ceza sezon sonu Ama göreceksiniz bakýn öncesi kulüplere ceza vermeye gücü yetecek taþýn altýna elini koymak böylesine tarihi kararlarda zorlanabileceðini Aslýnda örneklere baktýðýmýzda cezayý vermesi yanlýþ deðil durum vahimleþtikten sonra erkin federasyon tarafýndan devredilmesi ,AHMET ÇAKAR
